X,Y,District,Capital,Province,REG_EN,Regional
65.94006697,32.72060013,Tirinkot,1,Uruzgan,Southern,
67.00258138,32.50862099,Arghandab,,Zabul,Southern,
67.3831141,31.72575523,Atghar,,Zabul,Southern,
66.65333011,32.60510286,Daychopan,,Zabul,Southern,
67.2178056,32.88688477,Kakar,,Zabul,Southern,
66.50875676,32.17589431,Mizan,,Zabul,Southern,
67.5631794,32.21271711,Nawbahar,,Zabul,Southern,
66.99239311,32.21962611,Qalat,1,Zabul,Southern,
67.37579268,32.48512727,Shah Joi,,Zabul,Southern,
67.77917201,31.82100286,Shamul Zayi,,Zabul,Southern,
67.1325792,31.94362601,Shinkay,,Zabul,Southern,
66.57605606,31.92382598,Tarnak Wa Jaldak,,Zabul,Southern,
