shapeid,x,y,PROV_NA_EN,DIST_NA_EN,color1
10,70.01077775,33.42583431,Khost,Khost (Matun),
10,70.08631097,33.41190736,Khost,Khost (Matun),
10,70.0955683,33.38298846,Khost,Khost (Matun),
10,70.12850144,33.37823691,Khost,Khost (Matun),
10,70.11924412,33.36865189,Khost,Khost (Matun),
10,70.12088258,33.34899031,Khost,Khost (Matun),
10,70.15291457,33.33891376,Khost,Khost (Matun),
10,70.15152187,33.30548907,Khost,Khost (Matun),
10,70.17949866,33.25314012,Khost,Khost (Matun),
10,70.16436911,33.23214648,Khost,Khost (Matun),
10,70.163553,33.21789382,Khost,Khost (Matun),
10,70.09679539,33.20419743,Khost,Khost (Matun),
10,70.07605718,33.2196608,Khost,Khost (Matun),
10,70.08813829,33.23176371,Khost,Khost (Matun),
10,70.08352399,33.24136146,Khost,Khost (Matun),
10,70.05140846,33.24062317,Khost,Khost (Matun),
10,70.04236443,33.26314096,Khost,Khost (Matun),
10,70.01781635,33.28805818,Khost,Khost (Matun),
10,69.99769799,33.27846044,Khost,Khost (Matun),
10,69.98939225,33.30319309,Khost,Khost (Matun),
10,69.94103438,33.30946854,Khost,Khost (Matun),
10,69.92940634,33.30190109,Khost,Khost (Matun),
10,69.88750848,33.29876336,Khost,Khost (Matun),
10,69.87511045,33.2881266,Khost,Khost (Matun),
11,70.17115882,33.5385109,Khost,Bak,
11,70.1727559,33.51821442,Khost,Bak,
11,70.2061249,33.5042857,Khost,Bak,
11,70.20876505,33.49636526,Khost,Bak,
11,70.20010468,33.48938652,Khost,Bak,
11,70.20568783,33.48385369,Khost,Bak,
11,70.16923204,33.46418616,Khost,Bak,
11,70.15048768,33.46148811,Khost,Bak,
11,70.11796906,33.48065848,Khost,Bak,
11,70.01776612,33.49744958,Khost,Bak,
11,69.96632905,33.56245844,Khost,Bak,
11,69.9659219,33.57779455,Khost,Bak,
11,69.98804391,33.59760936,Khost,Bak,
11,69.97800079,33.62217429,Khost,Bak,
11,70.03147362,33.61090971,Khost,Bak,
11,70.03459513,33.58960201,Khost,Bak,
11,70.02713065,33.57901601,Khost,Bak,
11,70.03527372,33.55295819,Khost,Bak,
11,70.13217627,33.55092242,Khost,Bak,
11,70.17115882,33.5385109,Khost,Bak,
12,69.90753997,33.67482897,Khost,Sabari,
12,69.94994815,33.68637213,Khost,Sabari,
12,69.96335955,33.66104666,Khost,Sabari,
12,69.95101343,33.63785597,Khost,Sabari,
12,69.95777043,33.62993109,Khost,Sabari,
12,69.96978288,33.63226684,Khost,Sabari,
12,69.98831534,33.600188,Khost,Sabari,
12,69.9659219,33.57779455,Khost,Sabari,
12,69.96904341,33.55635113,Khost,Sabari,
12,70.01464461,33.4990782,Khost,Sabari,
12,70.0427382,33.496771,Khost,Sabari,
12,70.0678421,33.47796042,Khost,Sabari,
12,70.04767772,33.46830424,Khost,Sabari,
12,70.01194208,33.42568461,Khost,Sabari,
12,69.99734234,33.43754934,Khost,Sabari,
12,69.94859801,33.42272123,Khost,Sabari,
12,69.90747254,33.43066778,Khost,Sabari,
12,69.85423118,33.4856854,Khost,Sabari,
