X,Y,Shape_Leng,Shape_Area,ADM2_EN,ADM2_DA,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1DA,ADM2ALT2DA,ADM1_EN,ADM1_DA,ADM1_PCODE,ADM0_EN,ADM0_DA,ADM0_PCODE,date,validOn,ValidTo,REG_EN,REG_DA,REG_PCODE
66.80433207,37.0524034,1.95101015,0.166436326,Dawlat Abad,دولت آباد,AF2109,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
65.04077391,36.52826062,2.752659453,0.273912178,Dawlat Abad,دولت آباد,AF2909,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
70.00743548,35.05275393,1.337878842,0.073325919,Dawlatshah,دولت شاه,AF0705,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
65.74914667,34.59847209,2.028605445,0.166898895,Dawlatyar,دولت یار,AF2303,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
71.21724217,38.10998551,2.399129894,0.13730858,Dawraz-e-Bala,دروازبالا ( نیسی),AF1727,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
70.90585726,38.22845068,1.887400182,0.125949867,Dawraz-e-Payin,درواز پائین (ما می ),AF1722,,,Dawraz,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
66.65333011,32.60510286,2.63702626,0.157546239,Daychopan,دای چوپان,AF2607,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
68.30794782,34.20297073,1.933946429,0.093628436,Daymirdad,دایمیرداد,AF0406,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
63.16217868,29.98020159,4.259699961,0.846127213,Deh-e-Shu,دیشو,AF3013,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
70.42805987,34.09315452,0.897873131,0.037659737,Deh Bala,ده بالا,AF0610,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
